"","Emp ID","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","dept","salary","status"
"1",2001,0.58,0.74,4,215,3,0,0,"sales","low","exist"
"2",2002,0.82,0.67,2,202,3,0,0,"sales","low","exist"
"3",2003,0.45,0.69,5,193,3,0,0,"sales","low","exist"
"4",2004,0.78,0.82,5,247,3,0,0,"sales","low","exist"
"5",2005,0.49,0.6,3,214,2,0,0,"sales","low","exist"
"6",2006,0.36,0.95,3,206,4,0,0,"sales","low","exist"
"7",2007,0.54,0.37,2,176,2,0,0,"sales","low","exist"
"8",2008,0.99,0.91,5,136,4,0,0,"sales","low","exist"
"9",2009,0.5,0.75,6,127,3,0,0,"sales","low","exist"
"10",2010,0.74,0.64,4,268,3,0,0,"sales","low","exist"
"11",2011,0.56,0.58,4,258,3,0,0,"sales","medium","exist"
"12",2012,0.34,0.39,2,136,3,0,0,"sales","medium","exist"
"13",2013,0.48,0.94,5,255,6,0,0,"accounting","medium","exist"
"14",2014,0.73,0.62,3,218,3,0,0,"accounting","medium","exist"
"15",2015,0.59,0.87,3,268,4,0,0,"accounting","medium","exist"
"16",2016,0.81,0.57,3,224,2,0,0,"hr","medium","exist"
"17",2017,0.9,0.66,3,231,3,0,0,"hr","medium","exist"
"18",2018,0.41,0.84,6,191,6,0,0,"hr","medium","exist"
"19",2019,0.89,0.92,4,165,5,0,0,"hr","medium","exist"
"20",2020,0.48,0.84,4,252,3,0,0,"technical","medium","exist"
"21",2021,0.79,0.97,5,266,2,0,0,"technical","medium","exist"
"22",2022,0.98,0.66,5,248,3,0,0,"technical","medium","exist"
"23",2023,0.75,0.7,4,144,4,0,0,"technical","high","exist"
"24",2024,1,0.41,4,174,3,0,0,"technical","low","exist"
"25",2025,0.24,0.82,5,179,6,0,0,"technical","medium","exist"
"26",2026,0.84,0.43,6,246,4,0,0,"technical","medium","exist"
"27",2027,0.56,0.86,4,201,3,1,0,"technical","medium","exist"
"28",2028,0.92,0.93,4,208,3,0,0,"technical","medium","exist"
"29",2029,0.61,0.98,3,267,3,0,0,"technical","low","exist"
"30",2030,0.84,0.77,4,262,4,0,0,"technical","low","exist"
"31",2031,0.85,0.59,3,235,3,0,0,"support","low","exist"
"32",2032,0.67,0.57,2,160,4,0,0,"support","low","exist"
"33",2033,0.54,0.94,4,267,4,0,0,"support","low","exist"
"34",2034,0.75,0.56,5,175,4,0,0,"support","low","exist"
"35",2035,0.82,0.79,4,224,2,0,0,"support","low","exist"
"36",2036,0.76,0.6,4,177,2,0,0,"support","low","exist"
"37",2037,0.19,0.53,6,191,4,0,0,"support","low","exist"
"38",2038,0.61,0.41,3,138,3,0,0,"support","low","exist"
"39",2039,0.51,0.8,3,218,2,1,0,"support","low","exist"
"40",2040,0.52,0.88,3,179,2,1,0,"support","low","exist"
"41",2041,0.74,0.58,3,241,3,0,0,"support","low","exist"
"42",2042,0.98,0.91,4,240,3,0,0,"technical","low","exist"
"43",2043,0.71,0.92,3,202,4,0,0,"technical","low","exist"
"44",2044,0.33,0.88,6,260,3,0,0,"technical","low","exist"
"45",2045,0.98,0.97,3,196,3,0,0,"management","low","exist"
"46",2046,0.52,0.59,2,176,3,1,0,"IT","low","exist"
"47",2047,0.84,0.65,2,140,3,0,0,"IT","low","exist"
"48",2048,0.87,0.5,3,242,2,0,0,"IT","low","exist"
"49",2049,0.48,0.85,3,279,4,0,0,"IT","low","exist"
"50",2050,0.58,0.55,4,202,3,0,0,"IT","medium","exist"
"51",2051,0.58,0.84,5,228,3,0,0,"product_mng","medium","exist"
"52",2052,0.73,0.69,4,171,3,0,0,"product_mng","medium","exist"
"53",2053,0.68,0.54,4,153,3,0,0,"product_mng","medium","exist"
"54",2054,0.41,0.68,3,165,3,1,0,"product_mng","medium","exist"
"55",2055,0.85,0.6,3,182,3,0,0,"IT","medium","exist"
"56",2056,0.54,0.7,5,239,5,0,0,"RandD","medium","exist"
"57",2057,0.81,0.61,5,231,2,0,0,"RandD","medium","exist"
"58",2058,0.7,0.52,4,255,3,0,0,"RandD","medium","exist"
"59",2059,0.63,0.66,4,237,2,1,0,"RandD","medium","exist"
"60",2060,0.68,0.54,3,251,2,0,0,"RandD","medium","exist"
"61",2061,0.7,0.53,4,178,2,0,0,"marketing","medium","exist"
"62",2062,0.82,0.65,4,148,3,0,0,"sales","high","exist"
"63",2063,0.72,0.94,4,240,4,0,0,"accounting","low","exist"
"64",2064,0.77,0.78,3,269,3,0,0,"support","medium","exist"
"65",2065,0.86,0.91,4,147,3,0,0,"technical","medium","exist"
"66",2066,0.15,0.97,3,198,5,0,0,"management","medium","exist"
"67",2067,0.81,0.99,5,143,3,0,0,"marketing","medium","exist"
"68",2068,0.93,0.98,3,238,2,0,0,"marketing","low","exist"
"69",2069,0.62,0.74,4,213,4,0,0,"marketing","low","exist"
"70",2070,0.53,0.81,3,226,3,1,0,"sales","low","exist"
"71",2071,0.86,0.99,3,169,2,1,0,"sales","low","exist"
"72",2072,0.92,0.65,4,238,2,0,0,"sales","low","exist"
"73",2073,0.97,0.83,4,202,3,0,0,"sales","low","exist"
"74",2074,0.39,0.78,2,205,6,1,0,"sales","low","exist"
"75",2075,0.45,0.66,3,111,4,0,0,"sales","low","exist"
"76",2076,0.41,0.47,4,104,3,0,0,"sales","low","exist"
"77",2077,0.51,0.69,3,212,3,0,0,"sales","low","exist"
"78",2078,0.74,0.62,4,236,4,0,0,"sales","low","exist"
"79",2079,0.69,0.57,5,245,2,1,0,"sales","low","exist"
"80",2080,0.84,0.64,4,267,4,0,0,"sales","low","exist"
"81",2081,0.69,0.66,5,106,5,0,0,"sales","low","exist"
"82",2082,0.93,0.53,5,198,3,0,0,"sales","low","exist"
"83",2083,0.33,0.45,6,239,3,0,0,"sales","low","exist"
"84",2084,0.25,0.65,5,220,3,0,0,"sales","low","exist"
"85",2085,0.63,0.59,5,224,3,0,0,"sales","low","exist"
"86",2086,0.81,0.62,3,100,3,0,0,"sales","low","exist"
"87",2087,0.12,0.87,4,244,5,0,0,"sales","low","exist"
"88",2088,0.52,0.66,4,139,3,0,0,"sales","low","exist"
"89",2089,0.57,0.51,2,152,2,0,0,"accounting","medium","exist"
"90",2090,0.84,0.58,4,208,3,0,0,"accounting","medium","exist"
"91",2091,0.6,0.95,5,205,3,0,0,"accounting","medium","exist"
"92",2092,0.73,0.44,2,194,6,0,0,"hr","medium","exist"
"93",2093,0.2,0.58,3,209,5,0,0,"hr","medium","exist"
"94",2094,0.58,0.9,3,212,3,0,0,"hr","medium","exist"
"95",2095,0.48,0.56,2,151,3,0,0,"hr","medium","exist"
"96",2096,0.54,0.67,4,282,6,0,0,"technical","medium","exist"
"97",2097,0.86,1,4,256,3,0,0,"technical","medium","exist"
"98",2098,0.94,0.83,2,185,3,1,0,"technical","medium","exist"
"99",2099,0.76,0.74,5,132,3,0,0,"technical","medium","exist"
"100",2100,0.61,0.95,5,233,3,0,0,"technical","medium","exist"
"101",2101,0.56,0.94,4,215,2,0,0,"technical","high","exist"
"102",2102,1,0.74,3,220,4,0,0,"technical","low","exist"
"103",2103,0.15,0.53,6,222,3,0,0,"technical","medium","exist"
"104",2104,0.19,0.58,5,182,2,0,0,"technical","medium","exist"
"105",2105,0.17,0.73,5,258,4,0,0,"technical","medium","exist"
"106",2106,0.71,0.57,3,209,2,0,0,"technical","medium","exist"
"107",2107,0.86,0.79,3,242,2,0,0,"support","low","exist"
"108",2108,0.59,0.88,4,155,3,1,0,"support","low","exist"
"109",2109,0.74,0.76,5,104,4,0,0,"support","low","exist"
"110",2110,0.98,0.92,4,201,3,1,0,"support","low","exist"
"111",2111,0.93,0.75,5,143,3,0,0,"support","low","exist"
"112",2112,1,0.92,5,161,3,1,0,"support","low","exist"
"113",2113,0.59,0.81,4,200,2,0,0,"support","low","exist"
"114",2114,0.98,0.55,4,255,2,0,0,"support","low","exist"
"115",2115,0.35,0.5,5,227,2,0,0,"support","low","exist"
"116",2116,0.42,0.96,3,270,6,0,0,"support","low","exist"
"117",2117,0.61,0.85,5,230,3,0,0,"support","low","exist"
"118",2118,0.78,0.72,5,270,3,1,0,"technical","low","exist"
"119",2119,0.93,0.52,4,200,3,0,0,"technical","low","exist"
"120",2120,0.5,0.95,5,207,3,0,0,"technical","low","exist"
"121",2121,0.67,0.51,5,182,3,0,0,"management","low","exist"
"122",2122,0.75,0.85,4,234,3,0,0,"IT","low","exist"
"123",2123,0.79,0.51,4,237,2,0,0,"IT","low","exist"
"124",2124,0.84,0.89,4,187,2,1,0,"IT","low","exist"
"125",2125,0.72,0.5,3,257,6,0,0,"IT","low","exist"
"126",2126,0.57,0.48,2,194,2,0,0,"IT","low","exist"
"127",2127,0.73,0.52,4,162,3,0,0,"product_mng","low","exist"
"128",2128,0.74,0.58,4,148,2,0,0,"product_mng","medium","exist"
"129",2129,0.52,0.83,4,210,2,0,0,"product_mng","medium","exist"
"130",2130,0.56,0.76,3,213,2,1,0,"product_mng","medium","exist"
"131",2131,0.76,0.68,4,189,2,1,0,"IT","medium","exist"
"132",2132,0.82,0.93,4,185,2,0,0,"RandD","medium","exist"
"133",2133,0.76,0.83,3,186,2,1,0,"RandD","medium","exist"
"134",2134,0.62,0.59,3,128,3,0,0,"RandD","medium","exist"
"135",2135,0.48,0.8,4,268,3,0,0,"RandD","medium","exist"
"136",2136,0.64,0.77,3,213,3,1,0,"RandD","medium","exist"
"137",2137,0.74,0.82,4,142,2,0,0,"marketing","medium","exist"
"138",2138,0.52,0.43,2,199,2,0,0,"sales","medium","exist"
"139",2139,0.67,0.5,4,157,2,0,0,"accounting","medium","exist"
"140",2140,0.71,0.76,5,172,2,1,0,"support","high","exist"
"141",2141,0.72,0.63,3,176,3,1,0,"technical","low","exist"
"142",2142,0.33,0.58,2,183,2,0,0,"management","medium","exist"
"143",2143,0.91,0.56,4,270,2,0,0,"marketing","medium","exist"
"144",2144,0.88,0.68,5,157,4,1,0,"marketing","medium","exist"
"145",2145,0.96,0.6,4,185,3,0,0,"marketing","medium","exist"
"146",2146,0.97,0.68,3,167,3,0,0,"sales","low","exist"
"147",2147,0.27,0.59,5,226,5,0,0,"sales","low","exist"
"148",2148,0.65,0.64,3,223,4,0,0,"sales","low","exist"
"149",2149,0.68,0.73,3,257,3,0,0,"sales","low","exist"
"150",2150,0.68,0.46,4,143,3,0,0,"sales","low","exist"
"151",2151,0.69,0.74,3,215,2,0,0,"sales","low","exist"
"152",2152,0.79,0.99,3,194,4,0,0,"sales","low","exist"
"153",2153,0.74,0.92,5,193,3,0,0,"sales","low","exist"
"154",2154,0.8,0.83,3,163,3,0,0,"sales","low","exist"
"155",2155,0.38,0.94,5,252,5,0,0,"sales","low","exist"
"156",2156,0.26,0.83,3,168,3,0,0,"sales","low","exist"
"157",2157,0.81,0.86,3,231,3,0,0,"sales","low","exist"
"158",2158,0.67,0.54,2,141,2,0,0,"sales","low","exist"
"159",2159,0.55,0.81,4,260,2,0,0,"sales","low","exist"
"160",2160,0.87,0.71,3,132,2,0,0,"sales","low","exist"
"161",2161,0.46,0.69,2,159,2,0,0,"sales","low","exist"
"162",2162,0.63,0.57,4,177,3,1,0,"sales","low","exist"
"163",2163,0.54,0.96,4,248,3,0,0,"sales","low","exist"
"164",2164,1,0.49,3,185,2,0,0,"sales","low","exist"
"165",2165,0.97,0.66,4,149,2,0,0,"accounting","low","exist"
"166",2166,0.9,0.92,3,152,3,0,0,"accounting","low","exist"
"167",2167,0.75,0.7,3,129,3,0,0,"accounting","medium","exist"
"168",2168,0.92,0.84,4,208,2,0,0,"hr","medium","exist"
"169",2169,0.8,0.94,4,136,2,0,0,"hr","medium","exist"
"170",2170,0.57,0.81,3,142,2,0,0,"hr","medium","exist"
"171",2171,0.81,0.94,3,225,4,0,0,"hr","medium","exist"
"172",2172,0.64,0.6,3,143,3,0,0,"technical","medium","exist"
"173",2173,0.71,0.54,4,215,3,0,0,"technical","medium","exist"
"174",2174,0.35,0.58,3,229,6,1,0,"technical","medium","exist"
"175",2175,0.88,0.81,5,193,5,0,0,"technical","medium","exist"
"176",2176,0.13,0.59,5,160,5,0,0,"technical","medium","exist"
"177",2177,0.82,0.73,4,195,5,1,0,"technical","medium","exist"
"178",2178,0.17,0.92,4,189,2,0,0,"technical","medium","exist"
"179",2179,0.21,0.82,4,207,5,0,0,"technical","high","exist"
"180",2180,0.89,0.47,4,108,3,0,0,"technical","low","exist"
"181",2181,0.2,0.72,6,224,4,0,0,"technical","medium","exist"
"182",2182,0.99,0.81,5,180,3,1,0,"technical","medium","exist"
"183",2183,0.26,0.85,6,152,4,0,0,"support","medium","exist"
"184",2184,0.22,0.53,4,244,2,0,0,"support","medium","exist"
"185",2185,0.79,0.84,3,176,3,0,0,"support","low","exist"
"186",2186,0.73,0.79,4,145,2,1,0,"support","low","exist"
"187",2187,0.83,0.54,3,149,3,0,0,"support","low","exist"
"188",2188,0.42,0.54,3,122,4,0,0,"support","low","exist"
"189",2189,0.18,0.8,2,110,5,0,0,"support","low","exist"
"190",2190,0.92,0.91,4,222,2,0,0,"support","low","exist"
"191",2191,0.87,0.52,3,237,3,0,0,"support","low","exist"
"192",2192,0.72,0.65,4,224,3,0,0,"support","low","exist"
"193",2193,0.64,0.58,5,115,5,0,0,"support","low","exist"
"194",2194,1,0.66,4,180,3,0,0,"technical","low","exist"
"195",2195,0.83,0.65,4,162,3,0,0,"technical","low","exist"
"196",2196,0.98,0.58,4,136,3,0,0,"technical","low","exist"
"197",2197,0.7,0.87,3,260,2,0,0,"management","low","exist"
"198",2198,0.9,0.79,4,150,2,0,0,"IT","low","exist"
"199",2199,0.55,0.99,4,248,3,0,0,"IT","low","exist"
"200",2200,0.78,0.84,3,233,3,1,0,"IT","low","exist"
"201",2201,0.89,0.53,5,272,3,0,0,"IT","low","exist"
"202",2202,0.17,0.59,3,197,5,0,0,"IT","low","exist"
"203",2203,0.14,0.64,5,164,5,0,0,"product_mng","low","exist"
"204",2204,0.85,0.57,4,216,2,0,0,"product_mng","low","exist"
"205",2205,0.84,0.79,4,266,3,1,0,"product_mng","low","exist"
"206",2206,0.7,0.69,3,102,4,1,0,"product_mng","medium","exist"
"207",2207,0.16,0.98,5,284,5,0,0,"IT","medium","exist"
"208",2208,0.51,0.69,3,145,2,1,0,"RandD","medium","exist"
"209",2209,0.6,0.89,3,167,4,0,0,"RandD","medium","exist"
"210",2210,0.5,0.63,3,172,2,0,0,"RandD","medium","exist"
"211",2211,0.43,0.39,5,198,5,0,0,"RandD","medium","exist"
