"","productID","meanSales","maxSales","minSales","sdSales"
"1","P100",58.0833333333333,82,19,16.5554623412737
"2","P101",62.75,98,44,15.178483574994
"3","P102",65.1666666666667,94,39,16.7431578064991
"4","P103",59,78,25,13.7046773700873
"5","P104",63.8333333333333,87,45,11.9227310273911
"6","P105",64.8333333333333,90,38,15.2841768049856
"7","P106",67.6666666666667,104,43,20.5441136596497
"8","P107",57.9166666666667,81,37,13.760670790556
"9","P108",60,80,50,9.40019342160768
"10","P109",57.0833333333333,82,42,11.6264458208105
"11","P110",60.5833333333333,86,33,13.9313794483294
"12","P111",52.4166666666667,64,17,12.6092198110123
"13","P112",56.8333333333333,86,42,17.1137017584971
"14","P113",57.5833333333333,75,33,14.5880295468787
"15","P114",63.5,93,35,18.7301409983529
"16","P115",60.25,80,42,11.7328210976342
"17","P116",48.3333333333333,85,12,18.9608847766962
"18","P117",54.4166666666667,106,31,19.4723969357715
"19","P118",63.1666666666667,84,47,11.2478954260409
"20","P119",60.9166666666667,96,29,18.8605327859448
